parent_article,cycle_archetype,line_no,component,item_type,sfg_code,bom_qty,fg_qty,godown,consumed_at_stage
Amazon Brand - Vedaka Premium Dry Fruits Combo 400 gm Gift Box ( B0BBDJMLYR ),D: Pack-only,5,California Pista Inshell Roasted and Salted,fg,,0.1,1,Factory,Final FG (Sorting+Packing)
Amazon Brand - Vedaka Premium Dry Fruits Combo 400 gm Gift Box ( B0BBDJMLYR ),D: Pack-only,6,PM24-Hamper-Vedaka Sleeve + Tray (Big 4P) 400 gm,pm,,1,1,Factory,Final FG (packing)
Amazon Brand - Vedaka Raw Sunflower Seeds 1 Kg B0D9P1N25J,B: Transform->Pack (in-line),1,Sunflower Seeds,rm,,1,1,Factory,Create WIP
Amazon Brand - Vedaka Raw Sunflower Seeds 1 Kg B0D9P1N25J,B: Transform->Pack (in-line),2,PM24-Vedaka Purple Zipper Pouch 1 Kg,pm,,1,1,PM Store,Final FG (packing)
Amazon Brand - Vedaka Raw Sunflower Seeds 1 Kg B0D9P1N25J,B: Transform->Pack (in-line),3,PM24-3 Ply Carton CF24 10 Kg (390x290x220mm) 10000 gm -Unprinted,pm,,0.1,1,PM Store,Final FG (packing)
Amazon Brand Nuts Berries and Seed Mix 200g (B0B69J57QV),B: Transform->Pack (in-line),1,PM24-Pet Jar 250 gm,pm,,1,1,PM Store,Final FG (packing)
Amazon Brand Nuts Berries and Seed Mix 200g (B0B69J57QV),B: Transform->Pack (in-line),2,PM24-3 Ply Carton CF24 10 Kg (390x290x220mm) 10000 gm -Unprinted,pm,,0.02,1,PM Store,Final FG (packing)
Amazon Brand Nuts Berries and Seed Mix 200g (B0B69J57QV),B: Transform->Pack (in-line),3,Pumpkin Seed ( 5% ),rm,,0.03,1,Factory,Create WIP
Amazon Brand Nuts Berries and Seed Mix 200g (B0B69J57QV),B: Transform->Pack (in-line),4,Dried Cranberry Sliced,rm,,0.05,1,Factory,Create WIP
Amazon Brand Nuts Berries and Seed Mix 200g (B0B69J57QV),B: Transform->Pack (in-line),5,CASHEW 450,rm,,0.03,1,Factory,Create WIP
Amazon Brand Nuts Berries and Seed Mix 200g (B0B69J57QV),B: Transform->Pack (in-line),6,American Almonds Running [28-30 Count],rm,,0.03,1,Factory,Create WIP
Amazon Brand Nuts Berries and Seed Mix 200g (B0B69J57QV),B: Transform->Pack (in-line),7,Sweet Amala Candy 5%,rm,,0.06,1,Factory,Create WIP
Amazon Brand Vedaka Dryfruits and Berries Mix 200g (B0B69KXW9J),B: Transform->Pack (in-line),1,Dried Cranberry Sliced,rm,,0.06,1,Factory,Create WIP
Amazon Brand Vedaka Dryfruits and Berries Mix 200g (B0B69KXW9J),B: Transform->Pack (in-line),2,Dried Strawberry,rm,,0.05,1,Factory,Create WIP
Amazon Brand Vedaka Dryfruits and Berries Mix 200g (B0B69KXW9J),B: Transform->Pack (in-line),3,GREEK DARK SEEDLESS RAISINS (Black Currant),rm,,0.06,1,Factory,Create WIP
Amazon Brand Vedaka Dryfruits and Berries Mix 200g (B0B69KXW9J),B: Transform->Pack (in-line),4,Dried Blueberry,rm,,0.03,1,Factory,Create WIP
Amazon Brand Vedaka Dryfruits and Berries Mix 200g (B0B69KXW9J),B: Transform->Pack (in-line),5,PM24-Pet Jar 250 gm,pm,,1,1,PM Store,Final FG (packing)
Amazon Brand Vedaka Dryfruits and Berries Mix 200g (B0B69KXW9J),B: Transform->Pack (in-line),6,PM24-5 Ply Carton CF24 10kg (390X290X220) (D Mart)-Unprinted,pm,,0.02,1,PM Store,Final FG (packing)
Amazon Brand Vedaka Dryfruits and Nut Mix 200g (B0B69KB4GB),B: Transform->Pack (in-line),1,Independence Almonds,rm,,0.04,1,Factory,Create WIP
Amazon Brand Vedaka Dryfruits and Nut Mix 200g (B0B69KB4GB),B: Transform->Pack (in-line),2,Dried Cranberry Sliced,rm,,0.03,1,Factory,Create WIP
Amazon Brand Vedaka Dryfruits and Nut Mix 200g (B0B69KB4GB),B: Transform->Pack (in-line),3,Afghan Black Raisins Seedless 1*2,rm,,0.03,1,Factory,Create WIP
Amazon Brand Vedaka Dryfruits and Nut Mix 200g (B0B69KB4GB),B: Transform->Pack (in-line),4,Indian Green Raisins,rm,,0.04,1,Factory,Create WIP
Amazon Brand Vedaka Dryfruits and Nut Mix 200g (B0B69KB4GB),B: Transform->Pack (in-line),5,PM24-Dry Fruits Nutes Mix 250 gm Pouch Digital,pm,,1,1,Factory,Final FG (packing)
Amazon Brand Vedaka Dryfruits and Nut Mix 200g (B0B69KB4GB),B: Transform->Pack (in-line),6,PM24-3 Ply Carton CF24 10 Kg (390x290x220mm) 10000 gm -Unprinted,pm,,0.02,1,Factory,Final FG (packing)
Amazon Brand Vedaka Dryfruits and Nut Mix 200g (B0B69KB4GB),B: Transform->Pack (in-line),7,Pista Kernel,rm,,0.02,1,Factory,Create WIP
Amazon Brand Vedaka Dryfruits and Nut Mix 200g (B0B69KB4GB),B: Transform->Pack (in-line),8,Cashew 320,rm,,0.02,1,Factory,Create WIP
Amazon Brand Vedaka Dryfruits and Nut Mix 200g (B0B69KB4GB),B: Transform->Pack (in-line),9,Chilean Walnut Kernel Quarter,sfg,SFG0333,0.02,1,Factory,Final FG (opening RM)
Amazon Brand- Vedaka Dry Dates powder 200g,D: Pack-only,1,AL BARAKAH DEHYDRATED DATE POWDER - BULK PACK 10KG,rm,,0.2,1,Factory,Final FG (Sorting+Packing)
Amazon Brand- Vedaka Dry Dates powder 200g,D: Pack-only,2,PM24-Vedaka Purple Pouch 200GM,pm,,1,1,Factory,Final FG (packing)
Amazon Brand- Vedaka Dry Dates powder 200g,D: Pack-only,3,PM24-3 Ply Carton CF24 10 Kg (390x290x220mm) 10000 gm -Unprinted,pm,,0.02,1,Factory,Final FG (packing)
American Almonds (23-25 Count),D: Pack-only,1,American Almonds (23-25 Count),rm,,1,1,Factory,Final FG (Sorting+Packing)
American Almonds (24-25 Count),D: Pack-only,1,American Almonds (24-25 Count),rm,,1.01,1,Factory,Final FG (Sorting+Packing)
American Almonds Running 25-27 count,D: Pack-only,1,American Almonds Running 25-27 count,rm,,1,1,Factory,Final FG (Sorting+Packing)
American Almonds Running 25-27 count,D: Pack-only,2,American Almonds Running 25-27 count,rm,,1,1,Factory,Final FG (Sorting+Packing)
American Almonds Running 25-27 count,D: Pack-only,3,PM24-Vacuum Pouch-510 x 560mm-65 G-125 Micron-10 Kg 10000 gm,pm,,0.1,1,Factory,Final FG (packing)
American Almonds Tukda,D: Pack-only,1,American Almonds Tukda,rm,,1,1,Factory,Final FG (Sorting+Packing)
American Pecan 50gm,,1,Pecan Nuts,rm,,0.05,1,Factory,Final FG (Sorting+Packing)
American Pecan 50gm,,2,PM24-Vacuum Pouch-155 x115mm 50 gm,pm,,1,1,PM Store,Final FG (packing)
American Pecan 50gm,,3,PM24-3 Ply Carton CF24 10 Kg (390x290x220mm) 10000 gm -Unprinted,pm,,0.01,1,PM Store,Final FG (packing)
Anjeer (Figs),D: Pack-only,1,Anjeer (Figs),rm,,1,1,Factory,Final FG (Sorting+Packing)
Anjeer 1*2 75gm,D: Pack-only,1,Anjeer 1*2,rm,,0.075,1,Factory,Final FG (Sorting+Packing)
Anjeer 1*2 75gm,D: Pack-only,2,PM24-Vacuum Pouch-130 x190mm 100 gm,pm,,1,1,PM Store,Final FG (packing)
Antioxidant Mix 33gm,B: Transform->Pack (in-line),1,Pecan Nuts Kernel Split,rm,,0.0043,1,Factory,Create WIP
Antioxidant Mix 33gm,B: Transform->Pack (in-line),2,American Almonds Running 25-27 count,rm,,0.0066,1,Factory,Create WIP
Antioxidant Mix 33gm,B: Transform->Pack (in-line),3,Dried Goji Berry,rm,,0.005,1,Factory,Create WIP
Antioxidant Mix 33gm,B: Transform->Pack (in-line),4,Dried Cranberry Sliced,rm,,0.0066,1,Factory,Create WIP
Antioxidant Mix 33gm,B: Transform->Pack (in-line),5,Dried Black Currant,rm,,0.004,1,Factory,Create WIP
Antioxidant Mix 33gm,B: Transform->Pack (in-line),6,Choco Chips,rm,,0.004,1,Factory,Create WIP
Antioxidant Mix 33gm,B: Transform->Pack (in-line),7,Orange Peel,rm,,0.0026,1,Factory,Create WIP
Antioxidant Mix 35gm,B: Transform->Pack (in-line),1,Pecan Nuts,rm,,0.0046,1,Factory,Create WIP
Antioxidant Mix 35gm,B: Transform->Pack (in-line),2,Almond Roasted,fg,,0.007,1,Factory,Create WIP
Antioxidant Mix 35gm,B: Transform->Pack (in-line),3,Dried Goji Berry,rm,,0.0053,1,Factory,Create WIP
Antioxidant Mix 35gm,B: Transform->Pack (in-line),4,Cranberry Slice Apple Infused,rm,,0.007,1,Factory,Create WIP
Antioxidant Mix 35gm,B: Transform->Pack (in-line),5,Dried Black Currant,rm,,0.0042,1,Factory,Create WIP
Antioxidant Mix 35gm,B: Transform->Pack (in-line),6,Choco Chips,rm,,0.0042,1,Factory,Create WIP
Antioxidant Mix 35gm,B: Transform->Pack (in-line),7,Orange Slice / Pieces,rm,,0.0028,1,Factory,Create WIP
Apollo Life Arabian Dates 500g,,1,AL BARAKAH BARHI DATES 10KG,rm,,0.5,1,Factory,Final FG (Sorting+Packing)
Apollo Life Arabian Dates 500g,,2,PM24-Apollo Standy Dates Pouch 500 gm,pm,,1,1,PM Store,Final FG (packing)
Apollo Life Arabian Dates 500g,,3,"PM24 – Apollo Arabian Dates _3-Ply Printed Carton,",pm,,0.083,1,PM Store,Final FG (packing)
Apricot Kernel,D: Pack-only,1,Apricot Kernel,rm,,1,1,Factory,Final FG (Sorting+Packing)
Ar Barakah Fard Dates 1kg,D: Pack-only,1,AL BARAKAH FARD DATES STANDARD,rm,,1,1,Factory,Final FG (Sorting+Packing)
AUSTRALIA MACADAMIA HONEY ROAST 100G PCH,,1,Honey Roasted Macadamia Nut,fg,,0.1,1,Factory,Final FG (Sorting+Packing)
AUSTRALIA MACADAMIA HONEY ROAST 100G PCH,,2,PM24-Australia Macadamia Honey Roast Pouch,pm,,1,1,PM Store,Final FG (packing)
AUSTRALIA MACADAMIA HONEY ROAST 100G PCH,,3,PM24-3 Ply Carton CF24 10 Kg (390x290x220mm) 10000 gm -Unprinted,pm,,0.021,1,PM Store,Final FG (packing)
AUSTRALIA MACADAMIA SWEETCHILLI 100G PCH,,1,Sweet Chilli Macadamia Nut,fg,,0.1,1,Factory,Final FG (Sorting+Packing)
AUSTRALIA MACADAMIA SWEETCHILLI 100G PCH,,2,PM24-Australia Macadamia Sweet Chilli  Pouch,pm,,1,1,PM Store,Final FG (packing)
AUSTRALIA MACADAMIA SWEETCHILLI 100G PCH,,3,PM24-3 Ply Carton CF21 Walnut Carton (445X310X305MM)-Unprinted,pm,,0.021,1,PM Store,Final FG (packing)
AUSTRALIA MCADAMIA DARKCHOCOLTE 100G PCH,,1,Macadamia Dark Chocolate Clusters,fg,,0.1,1,Factory,Final FG (Sorting+Packing)
AUSTRALIA MCADAMIA DARKCHOCOLTE 100G PCH,,2,PM24-Australia Macadamia Dark Chocolate Clusters  Pouch,pm,,0.1,1,PM Store,Final FG (packing)
AUSTRALIA MCADAMIA DARKCHOCOLTE 100G PCH,,3,PM24-3 Ply Carton CF24 10 Kg (390x290x220mm) 10000 gm -Unprinted,pm,,0.021,1,PM Store,Final FG (packing)
AUSTRALIA MCDAMIA MILKCHOCOLATE 100G PCH,,1,Macadamia Milk Chocolate Clusters,fg,,0.1,1,Factory,Final FG (Sorting+Packing)
AUSTRALIA MCDAMIA MILKCHOCOLATE 100G PCH,,2,PM24-Australia Macadamia Milk Chocolate Clusters  Pouch,pm,,1,1,PM Store,Final FG (packing)
AUSTRALIA MCDAMIA MILKCHOCOLATE 100G PCH,,3,PM24-3 Ply Carton CF24 10 Kg (390x290x220mm) 10000 gm -Unprinted,pm,,0.021,1,PM Store,Final FG (packing)
Azmah Dates 500 Gms (110002703),D: Pack-only,1,Wet Dates Safavi,rm,,0.5,1,Factory,Final FG (Sorting+Packing)
Banarasi Box Hamper 03,D: Pack-only,1,Carnival Festive Salted Almonds (27-28 count) 100gm,fg,,1,1,Factory,Final FG (Sorting+Packing)
Banarasi Box Hamper 03,D: Pack-only,2,Carnival Festive Cashew (320) 100gm,fg,,1,1,Factory,Final FG (Sorting+Packing)
Banarasi Box Hamper 03,D: Pack-only,3,Carnival Festive Indian Raisin 100gm,fg,,1,1,Factory,Final FG (Sorting+Packing)
Banarasi Box Hamper 03,D: Pack-only,4,PM24-Hamper-Square Banarasi Box-Small,pm,,1,1,PM Store,Final FG (packing)
Barbeque Almonds,D: Pack-only,1,American Almonds Running 25-27 count,rm,,0.2,1,Factory,Final FG (Sorting+Packing)
Barbeque Cashew,C: Pack of existing SFG,1,Cashew 320,rm,,0.99,1,Factory,Final FG (Sorting+Packing)
Barbeque Cashew,C: Pack of existing SFG,2,Barbeque seasoning,rm,,0.04,1,Factory,Final FG (Sorting+Packing)
Barbeque Cashew Bulk,A: WIP producer (bulk),1,Cashew 320,rm,,1,1,Factory,Create WIP
Barbeque Cashew Bulk,A: WIP producer (bulk),2,Barbeque seasoning,rm,,0.04,1,Factory,Create WIP
Barbeque Coated Peanuts 60gm,,1,Barbeque Coated Peanuts Bulk,rm,,0.06,1,Factory,Final FG (Sorting+Packing)
Barbeque Coated Peanuts Bulk,,1,Coated Peanut Base,fg,,0.9,1,Factory,Final FG (Sorting+Packing)
Barbeque Coated Peanuts Bulk,,2,Sunflower Oil in KG,rm,,0.04,1,Factory,Final FG (Sorting+Packing)
Barbeque Coated Peanuts Bulk,,3,Barbeque seasoning,rm,,0.06,1,Factory,Final FG (Sorting+Packing)
Barbeque Macadamia,B: Transform->Pack (in-line),1,Macadamia Roasted - Size 4,rm,,0.94,1,Factory,Create WIP
Barbeque Macadamia,B: Transform->Pack (in-line),2,Barbeque seasoning,rm,,0.07,1,Factory,Create WIP
Barbeque Macadamia,B: Transform->Pack (in-line),3,PM24-3 Ply Carton CF24 10 Kg (390x290x220mm) 10000 gm -Unprinted,pm,,0.1,1,Factory,Final FG (packing)
Barbeque Makhana,B: Transform->Pack (in-line),1,Makhana,rm,,1,1,Factory,Create WIP
BB Royal Ajwa Dates 500g,D: Pack-only,1,Ajwa Dates,rm,,0.5163,1,Factory,Final FG (Sorting+Packing)
BB Royal Ajwa Dates 500g,D: Pack-only,2,PM24-3 Ply Carton CF24 10 Kg (390x290x220mm) 10000 gm-Printed,pm,,0.05,1,Factory,Final FG (packing)
BB Royal Ajwa Dates 500g,D: Pack-only,3,PM24-BB Royal Ajwa Dates Tub 500 gm,pm,,1,1,Factory,Final FG (packing)
BB Royal Black Current 250g,D: Pack-only,1,GREEK DARK SEEDLESS RAISINS (Black Currant),rm,,0.25,1,Factory,Final FG (Sorting+Packing)
BB Royal Black Current 250g,D: Pack-only,2,PM24-3 Ply Carton CF24 10 Kg (390x290x220mm) 10000 gm-Printed,pm,,0.025,1,PM Store,Final FG (packing)
BB Royal Black Current 250g,D: Pack-only,3,PM24-BB Royal Black Currant Label 250 gm F800 /B930 /R770,pm,,1,1,PM Store,Final FG (packing)
BB Royal Dates - Ajwa 250g,D: Pack-only,1,Ajwa Dates,rm,,0.2581,1,Factory,Final FG (Sorting+Packing)
BB Royal Dates - Ajwa 250g,D: Pack-only,2,PM24-3 Ply Carton CF24 10 Kg (390x290x220mm) 10000 gm-Printed,pm,,0.03,1,Factory,Final FG (packing)
BB Royal Dates - Ajwa 250g,D: Pack-only,3,PM24-BB Royal Ajwa Dates 250 gm Tub,pm,,1,1,Factory,Final FG (packing)
BB Royal Dates - Deri 500 g,D: Pack-only,1,Deri Dates,rm,,0.5,1,Factory,Final FG (Sorting+Packing)
BB Royal Dates - Deri 500 g,D: Pack-only,2,PM24-3 Ply Carton CF24 10 Kg (390x290x220mm) 10000 gm-Printed,pm,,0.05,1,Factory,Final FG (packing)
BB Royal Dates - Deri 500 g,D: Pack-only,3,PM24-Big Basket-Red Dates Pouch 500 gm,pm,,1,1,Factory,Final FG (packing)
BB Royal Dates - Golden 500 g,D: Pack-only,1,AL BARAKAH KHALAS DATES,rm,,0.5163,1,Factory,Final FG (Sorting+Packing)
BB Royal Dates - Golden 500 g,D: Pack-only,2,PM24-3 Ply Carton CF24 10 Kg (390x290x220mm) 10000 gm-Printed,pm,,0.05,1,Factory,Final FG (packing)
BB Royal Dates - Golden 500 g,D: Pack-only,3,PM24-Big Basket-Red Dates Pouch 500 gm,pm,,1,1,Factory,Final FG (packing)
BB Royal Dates - Mazafati 250g,D: Pack-only,1,Mazafati Dates,rm,,0.2625,1,Factory,Final FG (Sorting+Packing)
BB Royal Dates - Mazafati 250g,D: Pack-only,2,PM24-3 Ply Carton CF24 10 Kg (390x290x220mm) 10000 gm-Printed,pm,,0.025,1,Factory,Final FG (packing)
BB Royal Dates - Mazafati 250g,D: Pack-only,3,PM24-Bb Royal Mazafati Dates Tub 250 gm,pm,,1,1,Factory,Final FG (packing)
BB Royal Dates - Medjool 250g,D: Pack-only,1,Medjoul Dates Mini,rm,,0.2581,1,Factory,Final FG (Sorting+Packing)
BB Royal Dates - Medjool 250g,D: Pack-only,2,PM24-3 Ply Carton CF24 10 Kg (390x290x220mm) 10000 gm-Printed,pm,,0.025,1,Factory,Final FG (packing)
BB Royal Dates - Medjool 250g,D: Pack-only,3,PM24-Bb Royal Medjool Dates Tub 250 gm,pm,,1,1,Factory,Final FG (packing)
BB Royal Dates - Medjool 250g,D: Pack-only,4,PM24-Kimia Dates Pouch 6.5/11.5x8.25 Plain-LD Natural 500 gm,pm,,1,1,Factory,Final FG (packing)
BB Royal Dates - Omani 250g,D: Pack-only,1,Oman Dates,rm,,0.2581,1,Factory,Final FG (Sorting+Packing)
BB Royal Dates - Omani 250g,D: Pack-only,2,PM24-3 Ply Carton CF24 10 Kg (390x290x220mm) 10000 gm-Printed,pm,,0.025,1,Factory,Final FG (packing)
BB Royal Dates - Omani 250g,D: Pack-only,3,PM24-BB Royal Omani Dates Tub 250 gm,pm,,1,1,Factory,Final FG (packing)
"BB Royal Dates - Red, Seedless 250 g",B: Transform->Pack (in-line),1,Wet Dates Seedless Khalas,rm,,0.2581,1,Factory,Create WIP
"BB Royal Dates - Red, Seedless 250 g",B: Transform->Pack (in-line),2,PM24-3 Ply Carton CF24 10 Kg (390x290x220mm) 10000 gm-Printed,pm,,0.025,1,PM Store,Final FG (packing)
"BB Royal Dates - Red, Seedless 250 g",B: Transform->Pack (in-line),3,PM24-Big Basket-Red Dates Pouch 250 gm,pm,,1,1,PM Store,Final FG (packing)
BB Royal Dates - Safawi 250g,D: Pack-only,1,Wet Dates Safavi,rm,,0.2581,1,Factory,Final FG (Sorting+Packing)
BB Royal Dates - Safawi 250g,D: Pack-only,2,PM24-3 Ply Carton CF24 10 Kg (390x290x220mm) 10000 gm-Printed,pm,,0.03,1,Factory,Final FG (packing)
BB Royal Dates - Safawi 250g,D: Pack-only,3,PM24-BB Royal Safavi Dates Tub 250 gm,pm,,1,1,Factory,Final FG (packing)
BB Royal Dates - Zahidi 500 g,D: Pack-only,1,Zahidi Dates,rm,,0.5163,1,Factory,Final FG (Sorting+Packing)
BB Royal Dates - Zahidi 500 g,D: Pack-only,2,PM24-3 Ply Carton CF24 10 Kg (390x290x220mm) 10000 gm-Printed,pm,,0.05,1,Factory,Final FG (packing)
BB Royal Dates - Zahidi 500 g,D: Pack-only,3,PM24-Big Basket-Red Dates Pouch 500 gm,pm,,1,1,Factory,Final FG (packing)
BB Royal Dried Blue Berries 100g,D: Pack-only,1,Dried Blueberry,rm,,0.1015,1,Factory,Final FG (Sorting+Packing)
BB Royal Dried Blue Berries 100g,D: Pack-only,2,PM24-3 Ply Carton CF24 10 Kg (390x290x220mm) 10000 gm-Printed,pm,,0.01,1,Factory,Final FG (packing)
BB Royal Dried Blue Berries 100g,D: Pack-only,3,PM24-BB Royal Blueberris Label 100 gm,pm,,1,1,Factory,Final FG (packing)
BB Royal Dried Blue Berries 100g,D: Pack-only,4,PM24-Pet 100 gm,pm,,1,1,Factory,Final FG (packing)
BB Royal Dried Blue Berries 250g,D: Pack-only,1,Dried Blueberry,rm,,0.25,1,Factory,Final FG (Sorting+Packing)
BB Royal Dried Blue Berries 250g,D: Pack-only,2,PM24-3 Ply Carton CF24 10 Kg (390x290x220mm) 10000 gm-Printed,pm,,0.025,1,Factory,Final FG (packing)
BB Royal Dried Blue Berries 250g,D: Pack-only,3,PM24-BB Royal Blueberry Set Label 250 gm F4000 /B2300 /R3100,pm,,1,1,PM Store,Final FG (packing)
BB Royal Dried Blue Berries 250g,D: Pack-only,4,PM24-600Ml Tub With Container Lid And Handle 250 gm,pm,,1,1,PM Store,Final FG (packing)
BB Royal Dried Cran Berries 100g,D: Pack-only,1,Dried Cranberry Whole,rm,,0.1015,1,Factory,Final FG (Sorting+Packing)
BB Royal Dried Cran Berries 100g,D: Pack-only,2,PM24-3 Ply Carton CF24 10 Kg (390x290x220mm) 10000 gm-Printed,pm,,0.01,1,Factory,Final FG (packing)
BB Royal Dried Cran Berries 100g,D: Pack-only,3,PM24-Cranberry Label 100 gm,pm,,1,1,Factory,Final FG (packing)
BB Royal Dried Cran Berries 100g,D: Pack-only,4,PM24-Pet 100 gm,pm,,1,1,Factory,Final FG (packing)
BB Royal Dried Cran Berry 250g,D: Pack-only,1,Dried Cranberry Whole,rm,,0.25,1,Factory,Final FG (Sorting+Packing)
BB Royal Dried Cran Berry 250g,D: Pack-only,2,PM24-3 Ply Carton CF24 10 Kg (390x290x220mm) 10000 gm-Printed,pm,,0.03,1,Factory,Final FG (packing)
BB Royal Dried Cran Berry 250g,D: Pack-only,3,PM24-Black Clip 250 gm,pm,,1,1,Factory,Final FG (packing)
BB Royal Dried Cran Berry 250g,D: Pack-only,4,PM24-600Ml Tub With Container Lid And Handle 250 gm,pm,,1,1,Factory,Final FG (packing)
BB Royal Dried Cran Berry 250g,D: Pack-only,5,PM24-Cranberry Set Label 250 gm,pm,,1,1,Factory,Final FG (packing)
BB Royal Mazafati Dates 500g,D: Pack-only,1,Mazafati Dates,rm,,0.525,1,Factory,Final FG (Sorting+Packing)
BB Royal Mazafati Dates 500g,D: Pack-only,2,PM24-3 Ply Carton CF24 10 Kg (390x290x220mm) 10000 gm-Printed,pm,,0.05,1,Factory,Final FG (packing)
BB Royal Mazafati Dates 500g,D: Pack-only,3,PM24-BB Royal Mazafati Dates Tub 500 gm,pm,,1,1,Factory,Final FG (packing)
BB Royal Mazafati Dates 500g,D: Pack-only,4,PM24-Kimia Dates Pouch 6.5/11.5x8.25 Plain-LD Natural 500 gm,pm,,1,1,Factory,Final FG (packing)
BB Royal Medjool Dates 500g,D: Pack-only,1,Medjoul Dates Mini,rm,,0.5163,1,Factory,Final FG (Sorting+Packing)
BB Royal Medjool Dates 500g,D: Pack-only,2,PM24-3 Ply Carton CF24 10 Kg (390x290x220mm) 10000 gm-Printed,pm,,0.05,1,Factory,Final FG (packing)
BB Royal Medjool Dates 500g,D: Pack-only,3,PM24-BB Royal Medjool Dates Tub 500 gm,pm,,1,1,Factory,Final FG (packing)
BB Royal Medjool Dates 500g,D: Pack-only,4,PM24-Kimia Dates Pouch 6.5/11.5x8.25 Plain-LD Natural 500 gm,pm,,1,1,Factory,Final FG (packing)
Bb Royal Omani Dates 500gm,D: Pack-only,1,Oman Dates,rm,,0.5163,1,Factory,Final FG (Sorting+Packing)
Bb Royal Omani Dates 500gm,D: Pack-only,2,PM24-3 Ply Carton CF24 10 Kg (390x290x220mm) 10000 gm-Printed,pm,,0.05,1,Factory,Final FG (packing)
Bb Royal Omani Dates 500gm,D: Pack-only,3,PM24-BB Royal Omani Dates Tub 500 gm,pm,,1,1,Factory,Final FG (packing)
Bb Royal Omani Dates 500gm,D: Pack-only,4,PM24-Kimia Dates Pouch 6.5/11.5x8.25 Plain-LD Natural 500 gm,pm,,1,1,Factory,Final FG (packing)
BB Royal Red Dates - With Seeds 500gm,D: Pack-only,1,AL BARAKAH KHALAS DATES,rm,,0.5,1,Factory,Final FG (Sorting+Packing)
BB Royal Safavi Dates 500g,D: Pack-only,1,Wet Dates Safavi,rm,,0.5163,1,Factory,Final FG (Sorting+Packing)
BB Royal Safavi Dates 500g,D: Pack-only,2,PM24-3 Ply Carton CF24 10 Kg (390x290x220mm) 10000 gm-Printed,pm,,0.05,1,Factory,Final FG (packing)
BB Royal Safavi Dates 500g,D: Pack-only,3,PM24-BB Royal Safavi Dates Tub 500 gm,pm,,1,1,Factory,Final FG (packing)
BB Royal Safavi Dates 500g,D: Pack-only,4,PM24-Kimia Dates Pouch 6.5/11.5x8.25 Plain-LD Natural 500 gm,pm,,1,1,Factory,Final FG (packing)
BBroyal Black Current 100g,D: Pack-only,1,GREEK DARK SEEDLESS RAISINS (Black Currant),rm,,0.1015,1,Factory,Final FG (Sorting+Packing)
BBroyal Black Current 100g,D: Pack-only,2,PM24-BB Royal Black Currant Label 100 gm,pm,,1,1,Factory,Final FG (packing)
BBroyal Black Current 100g,D: Pack-only,3,PM24-3 Ply Carton CF24 10 Kg (390x290x220mm) 10000 gm-Printed,pm,,0.01,1,Factory,Final FG (packing)
BBroyal Black Current 100g,D: Pack-only,4,PM24-Pet 100 gm,pm,,1,1,Factory,Final FG (packing)
Berry Mix,D: Pack-only,1,Dried Cranberry Sliced,rm,,0.19,1,Factory,Final FG (Sorting+Packing)
Berry Mix,D: Pack-only,2,Dried Blueberry,rm,,0.12,1,Factory,Final FG (Sorting+Packing)
Berry Mix,D: Pack-only,3,Dried Black Currant,rm,,0.2,1,Factory,Final FG (Sorting+Packing)
Berry Mix,D: Pack-only,4,Dried Raspberry,rm,,0.04,1,Factory,Final FG (Sorting+Packing)
Berry Mix,D: Pack-only,5,Indian Black Raisins,rm,,0.25,1,Factory,Final FG (Sorting+Packing)
Berry Mix,D: Pack-only,6,Dried Strawberry,rm,,0.2,1,Factory,Final FG (Sorting+Packing)
Black Pepper Almonds,B: Transform->Pack (in-line),1,American Almonds Running 25-27 count,rm,,0.94,1,Factory,Create WIP
Black Pepper Almonds,B: Transform->Pack (in-line),2,Black Pepper Seasoning,rm,,0.07,1,Factory,Create WIP
Black Pepper Almonds,B: Transform->Pack (in-line),3,PM24-3 Ply Carton CF24 10 Kg (390x290x220mm) 10000 gm -Unprinted,pm,,0.1,1,Factory,Final FG (packing)
BLACK PEPPER CASHEW,C: Pack of existing SFG,1,Cashew 320,rm,,0.94,1,Factory,Final FG (Sorting+Packing)
BLACK PEPPER CASHEW,C: Pack of existing SFG,2,Black Pepper Seasoning,rm,,0.07,1,Factory,Final FG (Sorting+Packing)
BLACK PEPPER CASHEW,C: Pack of existing SFG,3,PM24-3 Ply Carton CF24 10 Kg (390x290x220mm) 10000 gm -Unprinted,pm,,0.1,1,Factory,Final FG (packing)
Black Pepper Cashew Bulk,A: WIP producer (bulk),1,Cashew 320,rm,,1,1,Factory,Create WIP
Black Pepper Cashew Bulk,A: WIP producer (bulk),2,Black Pepper Seasoning,rm,,0.04,1,Factory,Create WIP
Black Pepper Macadamia Trail Mix,B: Transform->Pack (in-line),1,Pista Kernel,rm,,0.2387,1,Factory,Create WIP
Black Pepper Macadamia Trail Mix,B: Transform->Pack (in-line),2,Macadamia Roasted - Size 4L,rm,,0.1432,1,Factory,Create WIP
Black Pepper Macadamia Trail Mix,B: Transform->Pack (in-line),3,Pecan Nuts,rm,,0.1432,1,Factory,Create WIP
